OBJECTID,GEOID_20,Land Acres,Water Acres,Census Tract Number,Census Block Group,Census Tract and Block Group,Block Group Name,Census Tract Label,Council District,Comprehensive Plan Growth Area,Comprehensive Plan Area Name,ACS Vinatage,Total Population,Children under 5,Children under 18,Older Adults 65 and over,Median Age,Male,Female,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some Other Race alone,Not Hispanic or Latino Two or more races,Hispanic or Latino (of any race),People of Color,Total Households,Family Households (families),Nonfamily Households,Householder Living Alone,Less than a high school education,Bachelor degree or higher,Workers 16 years and over,Worked from home,Car truck or van - drove alone,Public Transportation (excluding taxicab),No Vehicles Available,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,Total Housing Units,1-unit detached,Low Density Housing (1-unit att - 4 units),Medium Density Housing (5-49 units),High Density Housing (50+ units),Overcrowded Units (>1 occupants/room),No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Population 18 years and Over,Population 18 years and Over with a Disability,Population Civilian Noninstitutionalized,Population without Health Insurance,Population 5 years and Over,Population Speaks a Language Other than English,Population Speaks English Less than Very Well,Households with Limited English,Spanish Limited English Speaking Households,Other Indo-European Languages Limited English Speaking Households,Asian and Pacific Island Languages Limited English Speaking Households,Other Languages Limited English Speaking Households,Owner Households,Renter Households,Gross Rent 30% or more of Household Income,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Monthly Costs 30% or more of Household Income (owners with a mortgage),Population 25 years and Over,Household Population,Family Household Population,Owner Household Population,Renter Household Population,Meidan Gross Rent,Median Selected Monthly Owner Costs for Households with a Mortgage,Per Capita Income,Median Household Income,Median Earnings Males Worked full-time year-round,Median Earnings Females Worked full-time year-round,"Household Income $100,000 or more","Family Household Income $100,000 or more","Nonfamily Household Income $100,000 or more",Median Family Household Income,Median Nonfamily Household Income,Median Earnings All Workers,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Households with People under 18 years,Households with People 65 years and over,Working Age Adults to 64 Years,Group Quarters Population,Population 16 years and over,Population 16 years and over not in labor force,Population 16 years and over in civilian labor force,Population 16 years and over in civilian labor force unemployed,Population for whom poverty status is determined,People with Income to Poverty Ratio Under .50,People with Income to Poverty .50 to .99,People with Income to Poverty 1.00 to 1.24,People with Income to Poverty 1.25 to 1.49,People with Income to Poverty 1.50 to 1.84,People with Income to Poverty 1.85 to 1.99,People with Income to Poverty 2.00 and over,Families for whom poverty status is determined,Families with income in the past 12 months below poverty level,Married-couple family with related children of the householder under 18 years below poverty,Married-couple family without related children of the householder under 18 years below poverty,Single parents with related children of the householder under 18 years below poverty,Other family below poverty,Population 20 to 64 years for whom poverty status is determined,Population 20 to 64 years below poverty,Population 20 to 64 years below poverty employed,Population 20 to 64 years employed,Neighborhood Subtype,Council District Type,Urban Center Village Type,"Earnings $50,000 or More Male Workers","Earnings $50,000 or More Female Workers",Population 16 years and over with earnings,Males 16 years and over with earnings,Females 16 years and over with earnings,Shape__Area,Shape__Length
1,530330105012,88.85267049,0,10501,2,10501.2,Block Group 2,105.01,1,0,Outside Villages,5Y23,1380,0,168,437,48.5,575,805,1098,71,0,22,8,10,101,70,282,598,312,286,268,15,856,650,164,422,0,121,31,127,228,100,0,0,691,315,152,106,118,0,50,81,96,320,51,0,981,257,1149,31,1380,137,35,0,0,0,0,0,413,185,25,394,78,1212,1149,845,889,260,2015,3273,67487,107069,126677,74783,344,221,94,164783,-,84402,417,11,124,25,73,95,202,775,231,1232,500,732,82,1149,203,0,0,0,31,0,915,312,29,0,0,29,0,767,79,29,589,Outside Villages,CD,UCUV,308,160,741,412,329,3870306.78364563,9181.2601310133
2,530330105022,93.41843662,0,10502,2,10502.2,Block Group 2,105.02,1,0,Outside Villages,5Y23,1982,78,273,351,38.9,1065,917,1460,0,0,0,0,175,107,240,522,710,396,314,36,0,805,1228,602,412,69,19,45,96,157,207,69,52,710,710,0,0,0,0,0,46,28,481,100,55,1709,211,1982,61,1904,371,0,0,0,0,0,0,435,275,19,267,0,1622,1982,1358,1277,705,-,3509,79459,250000+,138714,113375,635,340,295,203523,250000+,104097,602,50,550,0,48,175,221,1358,0,1761,511,1250,0,1982,125,19,0,140,0,0,1698,396,0,0,0,0,0,1320,125,97,1094,Outside Villages,CD,UCUV,559,441,1365,762,603,4069196.27165222,9132.54301110543
3,530330106023,74.93470697,0,10602,3,10602.3,Block Group 3,106.02,1,0,Outside Villages,5Y23,1164,11,146,172,35.7,629,535,983,24,0,33,0,0,107,17,181,657,298,359,304,33,649,789,286,389,97,87,202,17,34,172,17,61,765,404,11,350,0,5,183,29,138,242,65,0,1018,124,1164,17,1153,56,33,14,0,0,14,0,326,331,165,302,15,914,1164,747,713,451,1295,4001,91359,87974,-,76707,270,209,61,250000+,46545,63350,452,122,115,72,28,78,124,846,0,1039,222,817,28,1164,120,24,0,0,58,0,962,298,10,10,0,0,0,814,119,34,701,Outside Villages,CD,UCUV,237,247,849,498,351,3264103.60150146,7252.17520862367
4,530330107012,98.66621361,0,10701,2,10701.2,Block Group 2,107.01,1,0,Outside Villages,5Y23,954,95,179,86,32.3,501,453,503,178,0,146,0,0,0,127,451,412,282,130,96,42,363,561,161,297,85,42,0,97,194,32,77,0,442,195,39,172,36,7,7,75,160,82,42,46,775,79,954,25,859,231,110,29,0,0,29,0,197,215,98,175,68,705,954,749,470,484,1672,2869,47056,88333,61696,37788,173,129,44,84302,90400,58125,333,93,91,0,55,96,58,689,0,775,194,581,9,954,41,24,0,41,0,42,806,282,17,0,0,0,17,639,38,0,561,Outside Villages,CD,UCUV,223,123,581,335,246,4297806.80447388,11496.3541280413
5,530330111021,160.18038021,282.55017755,11102,1,11102.1,Block Group 1,111.02,2,0,Outside Villages,5Y23,1850,90,480,534,47.7,874,976,1138,73,0,149,0,0,322,168,712,576,434,142,122,7,1065,730,259,409,32,10,33,216,168,54,0,0,588,579,9,0,0,0,0,0,41,291,200,44,1155,81,1635,0,1760,169,36,0,0,0,0,0,430,146,67,222,59,1338,1635,1422,1143,492,3004,3368,83605,152167,116250,145227,482,335,89,211000,137839,72191,537,20,115,34,24,273,210,836,215,1448,709,739,9,1548,46,0,12,50,0,21,1419,434,10,0,10,0,0,836,27,0,607,Outside Villages,CD,UCUV,295,300,927,440,487,6948791.15609741,16141.4679041555
6,530330111023,29.2261419,0,11102,3,11102.3,Block Group 3,111.02,2,0,Outside Villages,5Y23,1146,83,278,60,36.7,476,670,132,476,0,84,0,0,111,343,1014,485,196,289,230,79,202,533,99,229,93,127,163,131,48,9,69,14,485,120,10,339,16,74,13,326,61,46,0,39,868,52,1146,155,1063,485,220,0,0,0,0,0,120,365,185,87,65,830,1132,772,349,783,1531,3441,35851,68321,45136,68626,131,117,14,101218,68035,45085,299,241,37,47,42,91,51,808,14,868,146,722,56,1146,2,33,64,363,0,0,684,196,16,0,16,0,0,798,33,0,644,Outside Villages,CD,UCUV,79,225,722,332,390,1273065.28192139,5191.31740959294
7,530330111024,62.09708819,0,11102,4,11102.4,Block Group 4,111.02,2,0,Outside Villages,5Y23,1165,127,307,104,31.5,681,484,229,118,0,627,0,49,43,99,936,349,246,103,39,28,373,632,73,261,224,0,10,216,158,125,50,0,377,193,56,78,50,118,0,68,110,95,59,17,858,54,1165,49,1038,419,111,0,0,0,0,0,174,175,24,133,50,781,1165,947,510,655,1438,2943,44903,92475,68313,46200,163,116,47,98409,76750,46677,350,118,75,0,108,148,66,754,0,897,212,685,34,1165,43,11,17,22,14,219,839,246,0,0,0,0,0,695,45,33,605,Outside Villages,CD,UCUV,209,96,723,436,287,2704903.86665344,8976.86101075639
8,530330112002,231.08109183,34.50727812,11200,2,11200.2,Block Group 2,112,1,128,South Park,5Y23,1521,138,323,117,33.7,928,593,736,73,48,327,0,0,73,264,785,540,313,227,166,205,342,848,56,601,138,56,156,353,239,14,30,0,566,225,233,108,0,31,45,219,108,106,42,20,1138,297,1461,74,1383,651,254,25,14,0,11,0,195,345,195,128,0,891,1521,1110,594,927,1514,2608,33468,82800,56667,63488,181,91,37,81083,44112,45438,275,181,53,127,159,158,97,1081,0,1269,342,867,72,1521,175,307,29,93,41,9,867,313,73,20,0,53,0,1025,217,131,737,Residential Urban Village,CD,UCUV,291,153,935,576,359,9912528.63633728,18607.5485221884
9,530330113001,512.25711635,10.43278921,11300,1,11300.1,Block Group 1,113,1,0,Outside Villages,5Y23,2080,121,335,594,40.6,774,1306,972,295,2,384,0,0,133,294,1108,1031,510,521,483,34,780,952,200,579,52,277,159,86,378,120,0,9,1217,462,16,153,586,0,18,320,232,348,78,35,1729,278,2064,157,1959,634,314,95,14,0,81,0,423,608,520,244,42,1556,2080,1510,1187,893,1435,3736,55162,49232,98281,89224,424,367,57,160970,28922,62155,549,98,132,46,144,220,533,1151,0,1761,762,983,14,2080,201,34,47,29,295,29,1445,510,51,0,0,0,51,1111,145,107,819,Outside Villages,CD,UCUV,315,320,1106,504,602,22768019.2851257,23061.9396336452
10,530330113004,97.67952182,0,11300,4,11300.4,Block Group 4,113,1,0,Outside Villages,5Y23,895,37,130,61,36.4,490,405,540,30,0,105,0,17,113,90,355,376,238,138,76,34,426,577,112,278,18,18,53,188,207,17,0,0,376,358,18,0,0,36,18,0,78,138,128,14,765,70,895,0,858,115,72,18,0,0,18,0,324,52,17,269,56,694,895,697,788,107,2735,3032,69727,181447,128529,116417,261,164,79,189808,113971,93125,361,104,96,16,0,91,56,704,0,765,168,597,20,895,30,0,0,26,12,0,827,238,0,0,0,0,0,691,14,14,564,Outside Villages,CD,UCUV,236,230,597,315,282,4254858.33828735,11528.9528058482
